label,benchmark,sf,threads,geomean_speedup_med_c2_vs_c1,geomean_speedup_min_c2_vs_c1,geomean_speedup_med_c3_vs_c1,geomean_speedup_min_c3_vs_c1,geomean_speedup_med_c4_vs_c1,geomean_speedup_min_c4_vs_c1,sum_median_c1,sum_min_c1,sum_median_c2,sum_min_c2,sum_median_c3,sum_min_c3,sum_median_c4,sum_min_c4
appian_t1,appian,0,1,1.0013322311246446,0.9975362915770826,0.9267579337972548,0.9271248279931189,1.0043880688980142,1.0012927898231576,98.615,96.86000000000001,98.75,97.41,106.38,104.32,98.565,97.13
job_t1,job,0,1,2.5268776704282505,1.6415897998854447,2.509466559952274,1.6352005267994099,2.7818803944520085,1.720309399853236,663.0500000000001,198.94,126.21499999999999,100.03,130.06,102.63000000000001,117.31,95.88
tpch_sf10_t1,tpch,10,1,1.2475828705615544,1.1811757351635557,1.1895584576720157,1.1324047662157604,1.4272007560274167,1.3374074713119926,110.25999999999999,97.05999999999999,83.15499999999999,79.89,90.70500000000001,86.89,74.34500000000001,72.42999999999999
tpch_sf20_t1,tpch,20,1,1.244028404722379,1.18354469323741,1.1722879874575896,1.1201461783635283,1.414089461369479,1.329463066256152,224.515,198.32000000000002,170.665,163.75000000000003,188.40499999999997,180.23,153.9,149.53
tpch_sf50_t1,tpch,50,1,1.2472213012344904,1.1860974661297221,1.1492961148491085,1.092421279076115,1.418518498613519,1.3282943320759064,576.125,509.21999999999997,437.8,420.59999999999997,498.405,478.91999999999996,396.31000000000006,386.28
tpch_sf100_t1,tpch,100,1,1.249650529329899,1.1889952587914787,1.136719315610814,1.085492230396386,1.4226843318575526,1.336754952343987,1174.145,1040.58,891.6550000000002,860.1800000000002,1031.61,989.96,809.3050000000001,785.9699999999999
tpcds_sf10_t1,tpcds,10,1,1.4283622443009623,1.2253695591993539,1.4188268622620024,1.2128370774826678,1.5503714307697847,1.3215371023472695,953.185,664.48,638.9900000000001,626.6700000000001,640.6,628.59,612.5,601.86
tpcds_sf20_t1,tpcds,20,1,1.4158353983506438,1.2172420861702622,1.4050530408629671,1.2071737415750632,1.5636981528976037,1.3447886102638262,871.945,755.3500000000001,720.2349999999999,703.4099999999999,726.945,708.1399999999999,685.4399999999998,670.0400000000001
tpcds_sf50_t1,tpcds,50,1,1.4749388669922403,1.2518755315011867,1.4526073041239356,1.2385510665243415,1.6186125456512253,1.3736175014647316,1867.2500000000005,1491.32,1391.92,1346.59,1417.3700000000001,1363.35,1301.4599999999996,1263.6299999999999
tpcds_sf100_t1,tpcds,100,1,1.4823813294852626,1.2565709320873317,1.457056664574238,1.2379034924590566,1.6519692725931854,1.3921641980492225,4122.5650000000005,3126.3900000000003,2921.9150000000004,2808.25,2987.7799999999997,2866.49,2710.6250000000005,2620.7999999999997
appian_t8,appian,0,8,1.0052009445628032,1.0142497525343208,0.8505858568199648,0.8330732289077135,0.9949397118245843,0.9966420558492055,16.53,16.21,16.53,16.009999999999998,19.299999999999997,19.0,16.68,16.229999999999997
