label,query,pattern,fastest,slowest,c1_over_best
appian_t1,q01,4~1~2~3,4,3,1.0036900369003692
appian_t1,q02,1~4~2<3,1,3,1.0
appian_t1,q03,4~2<1~3,4,3,1.07001647446458
appian_t1,q04,1~2~4<3,1,3,1.0
appian_t1,q05,4~2~1~3,4,3,1.0051867219917012
appian_t1,q06,1~4~2<3,1,3,1.0
appian_t1,q07,1~4~2<3,1,3,1.0
appian_t1,q08,4~2~1~3,4,3,1.001855913615657
job_t1,10a,4<3~2<1,4,1,1.6607142857142858
job_t1,10b,4<2~3<1,4,1,1.7720588235294117
job_t1,10c,1~2~3<4,1,4,1.0
job_t1,11a,2~3~4<1,2,1,1.2857142857142856
job_t1,11b,1<4~2~3,1,3,1.0
job_t1,11c,4<2~3<1,4,1,1.625
job_t1,11d,4<2~3<1,4,1,1.527777777777778
job_t1,12a,4<3~2<1,4,1,2.314814814814815
job_t1,12b,4~2~3<1,4,1,1.8032786885245904
job_t1,12c,4<2~3<1,4,1,2.3484848484848486
job_t1,13a,4<2~3<1,4,1,7.6116504854368925
job_t1,13b,4<3~2<1,4,1,4.846153846153846
job_t1,13c,4<2~3<1,4,1,5.6000000000000005
job_t1,13d,2~4<3<1,2,1,2.5811965811965814
job_t1,14a,4~2~3<1,4,1,8.847826086956522
job_t1,14b,2~3~4<1,2,1,7.604166666666668
job_t1,14c,4<2~3<1,4,1,7.046874999999999
job_t1,15a,4<2~3<1,4,1,1.7951807228915664
job_t1,15b,4~3~2<1,4,1,2.0751879699248117
job_t1,15c,4<3~2<1,4,1,2.126760563380282
job_t1,15d,4<3~2<1,4,1,1.7864077669902914
job_t1,16a,4<2~3<1,4,1,6.815217391304347
job_t1,16b,4<2~3<1,4,1,39.036088474970896
job_t1,16c,4<2~3<1,4,1,9.212189616252823
job_t1,16d,4<2~3<1,4,1,9.106481481481481
job_t1,17a,4~2<3<1,4,1,11.600973236009734
job_t1,17b,2~3<4<1,2,1,8.608247422680412
job_t1,17c,4<3~2<1,4,1,15.921568627450979
job_t1,17d,4<2~3<1,4,1,13.076271186440678
job_t1,17e,4<2<3<1,4,1,40.72408293460926
job_t1,17f,4<2~3<1,4,1,17.692520775623265
job_t1,18a,4<3~2<1,4,1,1.449640287769784
