query,case,median,min,median_cap,min_cap,max_cap,p10_cap,p90_cap,n_fail,label,benchmark,sf,threads
q01,1,2.72,2.68,2.72,2.68,2.8,2.7,2.742,0,appian_t1,appian,0,1
q01,2,2.72,2.69,2.72,2.69,2.75,2.6990000000000003,2.741,0,appian_t1,appian,0,1
q01,3,2.77,2.74,2.77,2.74,2.81,2.749,2.79,0,appian_t1,appian,0,1
q01,4,2.71,2.67,2.71,2.67,2.75,2.69,2.74,0,appian_t1,appian,0,1
q02,1,13.59,13.33,13.59,13.33,13.72,13.429,13.673,0,appian_t1,appian,0,1
q02,2,13.825,13.61,13.825,13.61,13.98,13.638,13.894,0,appian_t1,appian,0,1
q02,3,14.59,14.35,14.59,14.35,14.84,14.526,14.81,0,appian_t1,appian,0,1
q02,4,13.785,13.6,13.785,13.6,13.95,13.617999999999999,13.902000000000001,0,appian_t1,appian,0,1
q03,1,6.495,6.27,6.495,6.27,6.93,6.327,6.825,0,appian_t1,appian,0,1
q03,2,6.095,5.98,6.095,5.98,6.31,5.98,6.211,0,appian_t1,appian,0,1
q03,3,6.805,6.66,6.805,6.66,6.97,6.706,6.921,0,appian_t1,appian,0,1
q03,4,6.07,5.97,6.07,5.97,6.31,5.989,6.192,0,appian_t1,appian,0,1
q04,1,25.795,25.35,25.795,25.35,26.36,25.523,26.193,0,appian_t1,appian,0,1
q04,2,25.854999999999997,25.47,25.854999999999997,25.47,26.25,25.576999999999998,26.111,0,appian_t1,appian,0,1
q04,3,28.615000000000002,28.16,28.615000000000002,28.16,29.14,28.302,28.878,0,appian_t1,appian,0,1
q04,4,25.855,25.54,25.855,25.54,26.24,25.615000000000002,26.176000000000002,0,appian_t1,appian,0,1
q05,1,4.845,4.8,4.845,4.8,4.93,4.81,4.91,0,appian_t1,appian,0,1
q05,2,4.84,4.77,4.84,4.77,4.89,4.7989999999999995,4.872,0,appian_t1,appian,0,1
q05,3,5.05,4.99,5.05,4.99,5.12,5.027,5.101,0,appian_t1,appian,0,1
