label,benchmark,sf,threads,case,geomean_p90_over_p10,geomean_max_over_min,n_fail_runs,n_queries_any_fail
appian_t1,appian,0,1,1,1.0290090664664737,1.0450492647838974,0,0
appian_t1,appian,0,1,2,1.0208079632232034,1.0312030569803063,0,0
appian_t1,appian,0,1,3,1.0229359528522688,1.0389748859980894,0,0
appian_t1,appian,0,1,4,1.022441549108039,1.035839754134902,0,0
job_t1,job,0,1,1,3.7185828875498395,5.814727135667132,9,6
job_t1,job,0,1,2,1.4806644515266176,1.7520101150679868,0,0
job_t1,job,0,1,3,1.49167027219654,1.7616788113854984,0,0
job_t1,job,0,1,4,1.3028794984697003,1.4556641937484631,0,0
tpch_sf10_t1,tpch,10,1,1,1.3741164576497813,1.4205801123622703,6,1
tpch_sf10_t1,tpch,10,1,2,1.292805435470833,1.3247196429370518,6,1
tpch_sf10_t1,tpch,10,1,3,1.2907103563483568,1.3214786008717254,6,1
tpch_sf10_t1,tpch,10,1,4,1.2633089083285094,1.2936718054492102,6,1
tpch_sf20_t1,tpch,20,1,1,1.3345365842612555,1.3910888194818825,6,1
tpch_sf20_t1,tpch,20,1,2,1.2511926530531425,1.28048900184707,6,1
tpch_sf20_t1,tpch,20,1,3,1.2518513692157536,1.2820829192986436,6,1
tpch_sf20_t1,tpch,20,1,4,1.2227161675445761,1.2464032398724465,6,1
tpch_sf50_t1,tpch,50,1,1,1.275232490121947,1.3292411348994668,6,1
tpch_sf50_t1,tpch,50,1,2,1.2070355599236697,1.2295860615008,6,1
tpch_sf50_t1,tpch,50,1,3,1.2014552113678056,1.2253442953578784,6,1
tpch_sf50_t1,tpch,50,1,4,1.1649257508592514,1.1875608602240575,6,1
tpch_sf100_t1,tpch,100,1,1,1.236573946348466,1.2720820455364668,6,1
tpch_sf100_t1,tpch,100,1,2,1.1686375093845398,1.1950492016456653,6,1
tpch_sf100_t1,tpch,100,1,3,1.16695461081755,1.1910172134284673,6,1
tpch_sf100_t1,tpch,100,1,4,1.1299150099353983,1.1596506016926849,6,1
tpcds_sf10_t1,tpcds,10,1,1,1.344524394857361,1.4446455625580463,24,2
tpcds_sf10_t1,tpcds,10,1,2,1.1167519583479146,1.1774796943192758,20,1
tpcds_sf10_t1,tpcds,10,1,3,1.1224386126422892,1.1707071359593602,20,1
tpcds_sf10_t1,tpcds,10,1,4,1.0916350844600418,1.1330920645878355,20,1
tpcds_sf20_t1,tpcds,20,1,1,1.413862752942259,1.521809195332248,33,3
tpcds_sf20_t1,tpcds,20,1,2,1.1093295628942652,1.1463830974261113,20,1
tpcds_sf20_t1,tpcds,20,1,3,1.1126425637377444,1.1466426962553724,20,1
tpcds_sf20_t1,tpcds,20,1,4,1.1102162875197572,1.1397655029851481,20,1
tpcds_sf50_t1,tpcds,50,1,1,1.4067073802926602,1.4890665741266194,39,5
tpcds_sf50_t1,tpcds,50,1,2,1.1236814596692482,1.1534365875404344,23,2
tpcds_sf50_t1,tpcds,50,1,3,1.1264551650514882,1.1614238806520514,23,2
tpcds_sf50_t1,tpcds,50,1,4,1.1186283081903494,1.1463043672688094,23,2
tpcds_sf100_t1,tpcds,100,1,1,1.334557989852828,1.4184468867179676,77,6
tpcds_sf100_t1,tpcds,100,1,2,1.110814866983531,1.1428304944969014,43,3
tpcds_sf100_t1,tpcds,100,1,3,1.1174226340391669,1.1495827169600144,44,3
tpcds_sf100_t1,tpcds,100,1,4,1.103642097710694,1.1313290722814862,43,3
appian_t8,appian,0,8,1,1.045884556351125,1.0595982433686162,0,0
appian_t8,appian,0,8,2,1.0524929387915496,1.0844095953728825,0,0
appian_t8,appian,0,8,3,1.0254763005711456,1.0371463541882768,0,0
appian_t8,appian,0,8,4,1.038903595648758,1.0655839016125004,0,0
job_t8,job,0,8,1,2.805056683683996,4.284294756556919,0,0
job_t8,job,0,8,2,1.2956990408241016,1.4615099981719135,0,0
job_t8,job,0,8,3,1.314678177083328,1.468293391765094,0,0
job_t8,job,0,8,4,1.194857239648318,1.3303359423658287,0,0
tpch_sf10_t8,tpch,10,8,1,1.4718566116393614,1.5164881062373443,6,1
tpch_sf10_t8,tpch,10,8,2,1.4065413980190071,1.441759496243848,6,1
tpch_sf10_t8,tpch,10,8,3,1.3881892198810348,1.4125220468965267,6,1
tpch_sf10_t8,tpch,10,8,4,1.4125096964821682,1.455612980309234,6,1
tpch_sf20_t8,tpch,20,8,1,1.460506856449635,1.5349687099974723,6,1
tpch_sf20_t8,tpch,20,8,2,1.4255878133619109,1.4622583844182944,6,1
tpch_sf20_t8,tpch,20,8,3,1.4303736148002946,1.4578930287593288,6,1
tpch_sf20_t8,tpch,20,8,4,1.3760748369157632,1.4122713086162373,6,1
tpch_sf50_t8,tpch,50,8,1,1.3773274437226992,1.4520216867145481,6,1
tpch_sf50_t8,tpch,50,8,2,1.3539551373232264,1.369142566533957,6,1
tpch_sf50_t8,tpch,50,8,3,1.363651537418592,1.3945578165634331,6,1
tpch_sf50_t8,tpch,50,8,4,1.3004950315658512,1.3708886676377394,6,1
tpch_sf100_t8,tpch,100,8,1,1.3316033316553162,1.414346762453631,6,1
tpch_sf100_t8,tpch,100,8,2,1.3122820635031645,1.3458323840269595,6,1
tpch_sf100_t8,tpch,100,8,3,1.3303496752594004,1.34907709272666,6,1
tpch_sf100_t8,tpch,100,8,4,1.305004396027071,1.3304641482604063,6,1
tpcds_sf10_t8,tpcds,10,8,1,1.2894640408726816,1.3638431530393926,20,1
tpcds_sf10_t8,tpcds,10,8,2,1.1186894755850931,1.174416772823336,20,1
tpcds_sf10_t8,tpcds,10,8,3,1.1327808836696613,1.1936850051457533,20,1
tpcds_sf10_t8,tpcds,10,8,4,1.1171294597181132,1.1694654259197081,20,1
tpcds_sf20_t8,tpcds,20,8,1,1.3652982294092215,1.4579463874083007,20,1
tpcds_sf20_t8,tpcds,20,8,2,1.1118995036311392,1.1566779569061325,20,1
tpcds_sf20_t8,tpcds,20,8,3,1.1262712765213068,1.162086465817936,20,1
tpcds_sf20_t8,tpcds,20,8,4,1.105594987993922,1.1462166430625302,20,1
tpcds_sf50_t8,tpcds,50,8,1,1.4109337165731899,1.5016773203837703,26,2
tpcds_sf50_t8,tpcds,50,8,2,1.1168394254137117,1.1479803429807596,20,1
tpcds_sf50_t8,tpcds,50,8,3,1.1286487760185966,1.1608287219393545,20,1
tpcds_sf50_t8,tpcds,50,8,4,1.1166200825401846,1.1493559660970678,20,1
tpcds_sf100_t8,tpcds,100,8,1,1.398782875773387,1.479354774529176,49,5
tpcds_sf100_t8,tpcds,100,8,2,1.1452750841803938,1.1706671722727129,23,2
tpcds_sf100_t8,tpcds,100,8,3,1.1438039682120202,1.1743051946981022,23,2
