label,benchmark,sf,threads,n_queries,med_win_c1,min_win_c1,med_win_c2,min_win_c2,med_win_c3,min_win_c3,med_win_c4,min_win_c4,med_win_none,min_win_none,seed_win_c1,seed_win_c2,seed_win_c3,seed_win_c4,seed_win_none,n_tuples
appian_t1,appian,0,1,8,4,3,0,0,0,0,4,4,0,1,63,32,1,55,9,160
job_t1,job,0,1,113,3,11,9,3,2,6,86,61,13,32,150,135,93,1469,413,2260
tpch_sf10_t1,tpch,10,1,22,1,3,3,2,1,1,11,15,6,1,37,50,43,242,68,440
tpch_sf20_t1,tpch,20,1,22,1,1,4,5,1,0,12,12,4,4,46,77,38,243,36,440
tpch_sf50_t1,tpch,50,1,22,3,3,5,4,3,2,10,11,1,2,46,106,33,236,19,440
tpch_sf100_t1,tpch,100,1,22,2,1,4,3,3,4,13,14,0,0,46,84,40,259,11,440
tpcds_sf10_t1,tpcds,10,1,99,5,10,6,5,5,2,29,27,54,55,104,115,93,641,1027,1980
tpcds_sf20_t1,tpcds,20,1,99,11,13,5,3,6,1,31,35,46,47,164,149,99,664,904,1980
tpcds_sf50_t1,tpcds,50,1,99,15,13,13,7,4,2,36,39,31,38,241,219,127,731,662,1980
tpcds_sf100_t1,tpcds,100,1,99,20,17,11,9,7,5,45,47,16,21,272,238,170,861,439,1980
appian_t8,appian,0,8,8,1,0,0,2,0,0,0,0,7,6,28,18,0,9,105,160
job_t8,job,0,8,113,0,0,1,0,0,0,33,15,79,98,15,14,5,505,1721,2260
tpch_sf10_t8,tpch,10,8,22,0,0,0,1,0,0,8,7,14,14,4,8,2,140,286,440
tpch_sf20_t8,tpch,20,8,22,1,1,1,1,0,0,9,7,11,13,11,31,5,153,240,440
tpch_sf50_t8,tpch,50,8,22,0,1,1,1,1,0,11,12,9,8,11,31,4,191,203,440
tpch_sf100_t8,tpch,100,8,22,2,1,2,2,0,0,11,11,7,8,33,53,7,200,147,440
tpcds_sf10_t8,tpcds,10,8,99,2,4,1,3,0,0,11,15,85,77,30,38,29,225,1658,1980
tpcds_sf20_t8,tpcds,20,8,99,2,6,1,2,1,2,13,11,82,78,91,53,43,239,1554,1980
tpcds_sf50_t8,tpcds,50,8,99,4,7,8,3,0,2,18,15,69,72,129,85,55,360,1351,1980
tpcds_sf100_t8,tpcds,100,8,99,10,6,7,4,2,5,24,24,56,60,147,161,79,520,1073,1980
appian_t64,appian,0,64,8,2,2,0,3,0,0,1,0,5,3,44,33,0,20,63,160
job_t64,job,0,64,113,1,4,15,6,12,2,51,54,34,47,62,313,156,886,843,2260
tpch_sf10_t64,tpch,10,64,22,2,3,1,2,0,0,3,11,16,6,90,66,14,117,153,440
tpch_sf20_t64,tpch,20,64,22,2,2,2,3,0,1,7,2,11,14,56,58,21,87,218,440
tpch_sf50_t64,tpch,50,64,22,1,3,2,5,4,2,4,5,11,7,42,62,71,104,161,440
tpch_sf100_t64,tpch,100,64,22,3,4,3,3,0,3,5,6,11,6,79,87,37,104,133,440
tpcds_sf10_t64,tpcds,10,64,99,8,4,2,3,1,4,3,5,85,83,130,96,76,122,1556,1980
tpcds_sf20_t64,tpcds,20,64,99,13,10,7,5,0,5,1,4,78,75,450,141,48,62,1279,1980
tpcds_sf50_t64,tpcds,50,64,99,15,8,2,5,2,5,6,3,74,78,233,110,96,99,1442,1980
tpcds_sf100_t64,tpcds,100,64,99,14,17,4,5,5,9,13,7,63,61,294,118,145,208,1215,1980
