query,seed,ratio_c3_c2,c2,c3,any_inst,thc_probes,thc_inserts,max_build,label
q01,0,1.029520295202952,2.71,2.79,True,800000.0,300809.0,4301324.0,appian_t1
q01,1,1.0446096654275094,2.69,2.81,True,800000.0,300809.0,4301324.0,appian_t1
q01,2,1.0220588235294117,2.72,2.78,True,800000.0,300809.0,4301324.0,appian_t1
q01,3,1.029520295202952,2.71,2.79,True,800000.0,300809.0,4301324.0,appian_t1
q01,4,1.025735294117647,2.72,2.79,True,800000.0,300809.0,4301324.0,appian_t1
q01,5,1.0,2.74,2.74,True,800000.0,300809.0,4301324.0,appian_t1
q01,6,1.010989010989011,2.73,2.76,True,800000.0,300809.0,4301324.0,appian_t1
q01,7,1.0145454545454546,2.75,2.79,True,800000.0,300809.0,4301324.0,appian_t1
q01,8,1.0072992700729926,2.74,2.76,True,800000.0,300809.0,4301324.0,appian_t1
q01,9,1.0223048327137547,2.69,2.75,True,800000.0,300809.0,4301324.0,appian_t1
q01,10,1.0147058823529411,2.72,2.76,True,800000.0,300809.0,4301324.0,appian_t1
q01,11,1.010989010989011,2.73,2.76,True,800000.0,300809.0,4301324.0,appian_t1
q01,12,1.0183150183150182,2.73,2.78,True,800000.0,300809.0,4301324.0,appian_t1
q01,13,1.0148148148148148,2.7,2.74,True,800000.0,300809.0,4301324.0,appian_t1
q01,14,1.014760147601476,2.71,2.75,True,800000.0,300809.0,4301324.0,appian_t1
q01,15,1.0109489051094889,2.74,2.77,True,800000.0,300809.0,4301324.0,appian_t1
q01,16,1.0146520146520146,2.73,2.77,True,800000.0,300809.0,4301324.0,appian_t1
q01,17,1.029520295202952,2.71,2.79,True,800000.0,300809.0,4301324.0,appian_t1
q01,18,1.022140221402214,2.71,2.77,True,800000.0,300809.0,4301324.0,appian_t1
q01,19,1.0072727272727273,2.75,2.77,True,800000.0,300809.0,4301324.0,appian_t1
q02,0,1.0584415584415585,13.86,14.67,True,19975749.0,3724162.0,4301324.0,appian_t1
q02,1,1.0696480938416422,13.64,14.59,True,19975749.0,3724162.0,4301324.0,appian_t1
q02,2,1.0505415162454874,13.85,14.55,True,19975749.0,3724162.0,4301324.0,appian_t1
q02,3,1.0705363703159443,13.61,14.57,True,19975749.0,3724162.0,4301324.0,appian_t1
q02,4,1.046681254558716,13.71,14.35,True,19975749.0,3724162.0,4301324.0,appian_t1
q02,5,1.0664259927797834,13.85,14.77,True,19975749.0,3724162.0,4301324.0,appian_t1
