label,n_join_instances,state_never_instantiated,state_active,state_frozen,pct_instantiated
appian_t1,2260,1620,520,120.0,28.31858407079646
job_t1,18120,16550,1535,35.0,8.664459161147903
tpch_sf10_t1,1390,978,321,91.0,29.640287769784173
tpch_sf20_t1,1390,931,265,194.0,33.02158273381295
tpch_sf50_t1,1390,854,202,334.0,38.56115107913669
tpch_sf100_t1,1390,854,121,415.0,38.56115107913669
tpcds_sf10_t1,13055,12510,545,,4.1746457296055155
tpcds_sf20_t1,13055,12563,480,12.0,3.768671007276905
tpcds_sf50_t1,13040,12427,495,118.0,4.700920245398773
tpcds_sf100_t1,12995,11681,712,602.0,10.111581377452866
