hot_frac,mult,scale,case,run,runtime_seconds
0.02,63,40000,1,1,0.554000
0.02,63,40000,1,2,0.553000
0.02,63,40000,1,3,0.562000
0.02,63,40000,1,4,0.578000
0.02,63,40000,1,5,0.563000
0.02,63,40000,2,1,0.561000
0.02,63,40000,2,2,0.564000
0.02,63,40000,2,3,0.565000
0.02,63,40000,2,4,0.565000
0.02,63,40000,2,5,0.562000
0.02,63,40000,3,1,0.485000
0.02,63,40000,3,2,0.481000
0.02,63,40000,3,3,0.469000
0.02,63,40000,3,4,0.474000
0.02,63,40000,3,5,0.498000
0.02,63,40000,4,1,0.571000
0.02,63,40000,4,2,0.572000
0.02,63,40000,4,3,0.572000
0.02,63,40000,4,4,0.578000
0.02,63,40000,4,5,0.581000
0.05,20,40000,1,1,0.615000
0.05,20,40000,1,2,0.621000
0.05,20,40000,1,3,0.628000
0.05,20,40000,1,4,0.629000
0.05,20,40000,1,5,0.651000
0.05,20,40000,2,1,0.601000
0.05,20,40000,2,2,0.605000
0.05,20,40000,2,3,0.602000
0.05,20,40000,2,4,0.611000
0.05,20,40000,2,5,0.610000
0.05,20,40000,3,1,0.515000
0.05,20,40000,3,2,0.513000
0.05,20,40000,3,3,0.504000
0.05,20,40000,3,4,0.501000
0.05,20,40000,3,5,0.500000
0.05,20,40000,4,1,0.620000
0.05,20,40000,4,2,0.612000
0.05,20,40000,4,3,0.612000
0.05,20,40000,4,4,0.614000
0.05,20,40000,4,5,0.641000
0.10,10,40000,1,1,0.632000
0.10,10,40000,1,2,0.640000
0.10,10,40000,1,3,0.636000
0.10,10,40000,1,4,0.640000
0.10,10,40000,1,5,0.636000
0.10,10,40000,2,1,0.629000
0.10,10,40000,2,2,0.630000
0.10,10,40000,2,3,0.633000
0.10,10,40000,2,4,0.631000
0.10,10,40000,2,5,0.636000
0.10,10,40000,3,1,0.583000
0.10,10,40000,3,2,0.574000
0.10,10,40000,3,3,0.615000
0.10,10,40000,3,4,0.594000
0.10,10,40000,3,5,0.595000
0.10,10,40000,4,1,0.630000
0.10,10,40000,4,2,0.629000
0.10,10,40000,4,3,0.635000
0.10,10,40000,4,4,0.630000
0.10,10,40000,4,5,0.631000
0.25,4,40000,1,1,0.645000
0.25,4,40000,1,2,0.675000
0.25,4,40000,1,3,0.693000
0.25,4,40000,1,4,0.711000
0.25,4,40000,1,5,0.649000
0.25,4,40000,2,1,0.649000
0.25,4,40000,2,2,0.645000
0.25,4,40000,2,3,0.675000
0.25,4,40000,2,4,0.654000
0.25,4,40000,2,5,0.653000
0.25,4,40000,3,1,0.777000
0.25,4,40000,3,2,0.772000
0.25,4,40000,3,3,0.757000
0.25,4,40000,3,4,0.762000
0.25,4,40000,3,5,0.806000
0.25,4,40000,4,1,0.642000
0.25,4,40000,4,2,0.641000
0.25,4,40000,4,3,0.650000
0.25,4,40000,4,4,0.643000
0.25,4,40000,4,5,0.647000
0.50,2,40000,1,1,0.643000
0.50,2,40000,1,2,0.645000
0.50,2,40000,1,3,0.646000
0.50,2,40000,1,4,0.647000
0.50,2,40000,1,5,0.681000
0.50,2,40000,2,1,0.648000
0.50,2,40000,2,2,0.646000
0.50,2,40000,2,3,0.652000
0.50,2,40000,2,4,0.651000
0.50,2,40000,2,5,0.659000
0.50,2,40000,3,1,0.879000
0.50,2,40000,3,2,0.873000
0.50,2,40000,3,3,0.865000
0.50,2,40000,3,4,0.872000
0.50,2,40000,3,5,0.877000
0.50,2,40000,4,1,0.649000
0.50,2,40000,4,2,0.647000
0.50,2,40000,4,3,0.648000
0.50,2,40000,4,4,0.650000
0.50,2,40000,4,5,0.649000
1.00,1,40000,1,1,0.561000
1.00,1,40000,1,2,0.557000
1.00,1,40000,1,3,0.564000
1.00,1,40000,1,4,0.567000
1.00,1,40000,1,5,0.576000
1.00,1,40000,2,1,0.557000
1.00,1,40000,2,2,0.557000
1.00,1,40000,2,3,0.556000
1.00,1,40000,2,4,0.569000
1.00,1,40000,2,5,0.562000
1.00,1,40000,3,1,0.816000
1.00,1,40000,3,2,0.820000
1.00,1,40000,3,3,0.804000
1.00,1,40000,3,4,0.805000
1.00,1,40000,3,5,0.806000
1.00,1,40000,4,1,0.549000
1.00,1,40000,4,2,0.550000
1.00,1,40000,4,3,0.555000
1.00,1,40000,4,4,0.551000
1.00,1,40000,4,5,0.579000
0.02,63,160000,1,1,2.802000
0.02,63,160000,1,2,2.789000
0.02,63,160000,1,3,2.796000
0.02,63,160000,1,4,2.817000
0.02,63,160000,1,5,2.859000
0.02,63,160000,2,1,2.805000
0.02,63,160000,2,2,2.785000
0.02,63,160000,2,3,2.803000
0.02,63,160000,2,4,2.820000
0.02,63,160000,2,5,2.871000
0.02,63,160000,3,1,2.127000
0.02,63,160000,3,2,2.164000
0.02,63,160000,3,3,2.194000
0.02,63,160000,3,4,2.135000
0.02,63,160000,3,5,2.128000
0.02,63,160000,4,1,2.839000
0.02,63,160000,4,2,2.826000
0.02,63,160000,4,3,2.883000
0.02,63,160000,4,4,2.858000
0.02,63,160000,4,5,2.891000
0.10,10,160000,1,1,2.841000
0.10,10,160000,1,2,2.869000
0.10,10,160000,1,3,2.891000
0.10,10,160000,1,4,2.899000
0.10,10,160000,1,5,2.915000
0.10,10,160000,2,1,2.945000
0.10,10,160000,2,2,2.920000
0.10,10,160000,2,3,2.923000
0.10,10,160000,2,4,2.943000
0.10,10,160000,2,5,2.950000
0.10,10,160000,3,1,3.255000
0.10,10,160000,3,2,3.279000
0.10,10,160000,3,3,3.326000
0.10,10,160000,3,4,3.250000
0.10,10,160000,3,5,3.248000
0.10,10,160000,4,1,2.913000
0.10,10,160000,4,2,2.932000
0.10,10,160000,4,3,2.934000
0.10,10,160000,4,4,2.957000
0.10,10,160000,4,5,2.985000
