hot_frac,mult,scale,case,run,runtime_seconds
0.02,63,40000,1,1,0.553000
0.02,63,40000,1,2,0.547000
0.02,63,40000,1,3,0.552000
0.02,63,40000,1,4,0.551000
0.02,63,40000,1,5,0.555000
0.02,63,40000,2,1,0.555000
0.02,63,40000,2,2,0.562000
0.02,63,40000,2,3,0.577000
0.02,63,40000,2,4,0.556000
0.02,63,40000,2,5,0.577000
0.02,63,40000,3,1,0.496000
0.02,63,40000,3,2,0.490000
0.02,63,40000,3,3,0.477000
0.02,63,40000,3,4,0.507000
0.02,63,40000,3,5,0.480000
0.02,63,40000,4,1,0.560000
0.02,63,40000,4,2,0.562000
0.02,63,40000,4,3,0.557000
0.02,63,40000,4,4,0.553000
0.02,63,40000,4,5,0.553000
0.05,20,40000,1,1,0.608000
0.05,20,40000,1,2,0.603000
0.05,20,40000,1,3,0.602000
0.05,20,40000,1,4,0.609000
0.05,20,40000,1,5,0.621000
0.05,20,40000,2,1,0.611000
0.05,20,40000,2,2,0.622000
0.05,20,40000,2,3,0.613000
0.05,20,40000,2,4,0.613000
0.05,20,40000,2,5,0.624000
0.05,20,40000,3,1,0.523000
0.05,20,40000,3,2,0.520000
0.05,20,40000,3,3,0.512000
0.05,20,40000,3,4,0.538000
0.05,20,40000,3,5,0.512000
0.05,20,40000,4,1,0.609000
0.05,20,40000,4,2,0.612000
0.05,20,40000,4,3,0.630000
0.05,20,40000,4,4,0.621000
0.05,20,40000,4,5,0.636000
0.10,10,40000,1,1,0.645000
0.10,10,40000,1,2,0.647000
0.10,10,40000,1,3,0.657000
0.10,10,40000,1,4,0.655000
0.10,10,40000,1,5,0.654000
0.10,10,40000,2,1,0.644000
0.10,10,40000,2,2,0.651000
0.10,10,40000,2,3,0.658000
0.10,10,40000,2,4,0.641000
0.10,10,40000,2,5,0.645000
0.10,10,40000,3,1,0.586000
0.10,10,40000,3,2,0.581000
0.10,10,40000,3,3,0.564000
0.10,10,40000,3,4,0.566000
0.10,10,40000,3,5,0.570000
0.10,10,40000,4,1,0.648000
0.10,10,40000,4,2,0.657000
0.10,10,40000,4,3,0.658000
0.10,10,40000,4,4,0.654000
0.10,10,40000,4,5,0.651000
0.25,4,40000,1,1,0.642000
0.25,4,40000,1,2,0.639000
0.25,4,40000,1,3,0.645000
0.25,4,40000,1,4,0.671000
0.25,4,40000,1,5,0.689000
0.25,4,40000,2,1,0.641000
0.25,4,40000,2,2,0.644000
0.25,4,40000,2,3,0.646000
0.25,4,40000,2,4,0.655000
0.25,4,40000,2,5,0.653000
0.25,4,40000,3,1,0.761000
0.25,4,40000,3,2,0.754000
0.25,4,40000,3,3,0.756000
0.25,4,40000,3,4,0.763000
0.25,4,40000,3,5,0.815000
0.25,4,40000,4,1,0.652000
0.25,4,40000,4,2,0.656000
0.25,4,40000,4,3,0.651000
0.25,4,40000,4,4,0.681000
0.25,4,40000,4,5,0.679000
0.50,2,40000,1,1,0.632000
0.50,2,40000,1,2,0.635000
0.50,2,40000,1,3,0.638000
0.50,2,40000,1,4,0.642000
0.50,2,40000,1,5,0.641000
0.50,2,40000,2,1,0.641000
0.50,2,40000,2,2,0.643000
0.50,2,40000,2,3,0.640000
0.50,2,40000,2,4,0.653000
0.50,2,40000,2,5,0.648000
0.50,2,40000,3,1,0.898000
0.50,2,40000,3,2,0.897000
0.50,2,40000,3,3,0.894000
0.50,2,40000,3,4,0.880000
0.50,2,40000,3,5,0.913000
0.50,2,40000,4,1,0.639000
0.50,2,40000,4,2,0.634000
0.50,2,40000,4,3,0.640000
0.50,2,40000,4,4,0.637000
0.50,2,40000,4,5,0.639000
1.00,1,40000,1,1,0.551000
1.00,1,40000,1,2,0.592000
1.00,1,40000,1,3,0.563000
1.00,1,40000,1,4,0.555000
1.00,1,40000,1,5,0.556000
