query,case,seed,run_idx,runtime_seconds
q01,1,0,1,0.62
q02,1,0,1,2.52
q03,1,0,1,1.26
q04,1,0,1,4.24
q05,1,0,1,1.07
q06,1,0,1,1.28
q07,1,0,1,1.38
q08,1,0,1,5.62
q01,1,1,1,0.60
q02,1,1,1,2.54
q03,1,1,1,1.28
q04,1,1,1,4.28
q05,1,1,1,1.04
q06,1,1,1,1.29
q07,1,1,1,1.40
q08,1,1,1,5.68
q01,1,2,1,0.61
q02,1,2,1,2.50
q03,1,2,1,1.26
q04,1,2,1,4.32
q05,1,2,1,1.05
q06,1,2,1,1.29
q07,1,2,1,1.41
q08,1,2,1,5.65
q01,1,3,1,0.60
q02,1,3,1,2.51
q03,1,3,1,1.26
q04,1,3,1,4.22
q05,1,3,1,1.07
q06,1,3,1,1.27
q07,1,3,1,1.42
q08,1,3,1,5.60
q01,1,4,1,0.61
q02,1,4,1,2.55
q03,1,4,1,1.26
q04,1,4,1,4.20
q05,1,4,1,1.06
q06,1,4,1,1.26
q07,1,4,1,1.40
q08,1,4,1,5.72
q01,1,5,1,0.62
q02,1,5,1,2.53
q03,1,5,1,1.26
q04,1,5,1,4.22
q05,1,5,1,1.07
q06,1,5,1,1.27
q07,1,5,1,1.41
q08,1,5,1,5.57
q01,1,6,1,0.60
q02,1,6,1,2.55
q03,1,6,1,1.27
q04,1,6,1,4.20
q05,1,6,1,1.06
q06,1,6,1,1.29
q07,1,6,1,1.40
q08,1,6,1,5.60
q01,1,7,1,0.61
q02,1,7,1,2.52
q03,1,7,1,1.28
q04,1,7,1,4.21
q05,1,7,1,1.05
q06,1,7,1,1.28
q07,1,7,1,1.38
q08,1,7,1,5.56
q01,1,8,1,0.62
q02,1,8,1,2.53
q03,1,8,1,1.27
q04,1,8,1,4.25
q05,1,8,1,1.06
q06,1,8,1,1.29
q07,1,8,1,1.42
q08,1,8,1,5.72
q01,1,9,1,0.61
q02,1,9,1,2.54
q03,1,9,1,1.27
q04,1,9,1,4.25
q05,1,9,1,1.07
q06,1,9,1,1.26
q07,1,9,1,1.42
q08,1,9,1,5.66
q01,1,10,1,0.60
q02,1,10,1,2.51
q03,1,10,1,1.26
q04,1,10,1,4.22
q05,1,10,1,1.07
q06,1,10,1,1.33
q07,1,10,1,1.40
q08,1,10,1,5.56
q01,1,11,1,0.60
q02,1,11,1,2.54
q03,1,11,1,1.28
q04,1,11,1,4.22
q05,1,11,1,1.05
q06,1,11,1,1.28
q07,1,11,1,1.39
q08,1,11,1,5.73
q01,1,12,1,0.61
q02,1,12,1,2.52
q03,1,12,1,1.26
q04,1,12,1,4.29
q05,1,12,1,1.05
q06,1,12,1,1.29
q07,1,12,1,1.40
q08,1,12,1,5.65
q01,1,13,1,0.61
q02,1,13,1,2.49
q03,1,13,1,1.27
q04,1,13,1,4.27
q05,1,13,1,1.07
q06,1,13,1,1.29
q07,1,13,1,1.37
q08,1,13,1,5.68
q01,1,14,1,0.61
q02,1,14,1,2.55
q03,1,14,1,1.29
q04,1,14,1,4.26
q05,1,14,1,1.06
q06,1,14,1,1.28
q07,1,14,1,1.40
q08,1,14,1,5.62
q01,1,15,1,0.61
q02,1,15,1,2.51
q03,1,15,1,1.27
q04,1,15,1,4.28
q05,1,15,1,1.07
q06,1,15,1,1.28
q07,1,15,1,1.40
q08,1,15,1,5.61
q01,1,16,1,0.61
q02,1,16,1,2.53
q03,1,16,1,1.27
q04,1,16,1,4.23
q05,1,16,1,1.06
q06,1,16,1,1.31
q07,1,16,1,1.42
q08,1,16,1,5.62
q01,1,17,1,0.61
q02,1,17,1,2.53
q03,1,17,1,1.28
q04,1,17,1,4.26
q05,1,17,1,1.05
q06,1,17,1,1.29
q07,1,17,1,1.41
q08,1,17,1,5.59
q01,1,18,1,0.61
q02,1,18,1,2.53
q03,1,18,1,1.24
q04,1,18,1,4.25
q05,1,18,1,1.06
q06,1,18,1,1.29
q07,1,18,1,1.41
q08,1,18,1,5.69
q01,1,19,1,0.60
q02,1,19,1,2.51
q03,1,19,1,1.25
q04,1,19,1,4.23
q05,1,19,1,1.05
q06,1,19,1,1.29
q07,1,19,1,1.38
q08,1,19,1,5.65
q01,2,0,1,0.61
q02,2,0,1,2.53
q03,2,0,1,1.24
q04,2,0,1,4.23
q05,2,0,1,1.04
q06,2,0,1,1.28
q07,2,0,1,1.40
q08,2,0,1,5.65
q01,2,1,1,0.61
q02,2,1,1,2.54
q03,2,1,1,1.24
q04,2,1,1,4.23
q05,2,1,1,1.05
q06,2,1,1,1.28
q07,2,1,1,1.44
q08,2,1,1,5.67
q01,2,2,1,0.60
q02,2,2,1,2.56
q03,2,2,1,1.23
q04,2,2,1,4.28
q05,2,2,1,1.04
q06,2,2,1,1.28
q07,2,2,1,1.42
q08,2,2,1,5.62
q01,2,3,1,0.61
q02,2,3,1,2.54
q03,2,3,1,1.25
q04,2,3,1,4.28
