query,case,seed,run_idx,runtime_seconds
1a,1,,1,0.07
1b,1,,1,0.06
1c,1,,1,0.06
1d,1,,1,0.06
2a,1,,1,0.14
2b,1,,1,0.13
2c,1,,1,0.10
2d,1,,1,0.15
3a,1,,1,0.39
3b,1,,1,0.26
3c,1,,1,0.43
4a,1,,1,0.20
4b,1,,1,0.09
4c,1,,1,0.26
5a,1,,1,0.10
5b,1,,1,0.29
5c,1,,1,0.41
6a,1,,1,0.26
6b,1,,1,0.13
6c,1,,1,0.20
6d,1,,1,0.20
6e,1,,1,0.26
6f,1,,1,0.62
7a,1,,1,0.17
7b,1,,1,0.10
7c,1,,1,1.24
8a,1,,1,0.18
8b,1,,1,0.16
8c,1,,1,0.43
8d,1,,1,0.25
9a,1,,1,0.31
9b,1,,1,0.23
9c,1,,1,0.31
9d,1,,1,0.38
10a,1,,1,0.20
10b,1,,1,0.15
10c,1,,1,0.42
11a,1,,1,0.08
11b,1,,1,0.08
11c,1,,1,0.27
11d,1,,1,0.73
12a,1,,1,0.11
12b,1,,1,0.14
12c,1,,1,0.14
13a,1,,1,0.12
13b,1,,1,0.16
13c,1,,1,0.15
13d,1,,1,0.19
14a,1,,1,0.16
14b,1,,1,0.10
14c,1,,1,0.23
15a,1,,1,0.24
15b,1,,1,0.32
15c,1,,1,0.30
15d,1,,1,0.27
16a,1,,1,0.27
16b,1,,1,0.77
16c,1,,1,0.39
16d,1,,1,0.37
17a,1,,1,0.46
17b,1,,1,0.57
17c,1,,1,0.57
17d,1,,1,0.58
17e,1,,1,0.51
17f,1,,1,0.66
18a,1,,1,0.37
18b,1,,1,0.44
18c,1,,1,0.50
19a,1,,1,0.40
19b,1,,1,0.39
19c,1,,1,0.42
19d,1,,1,0.44
20a,1,,1,0.47
20b,1,,1,0.40
20c,1,,1,0.43
21a,1,,1,0.12
21b,1,,1,0.09
21c,1,,1,0.12
22a,1,,1,0.26
22b,1,,1,0.22
22c,1,,1,0.42
22d,1,,1,0.58
23a,1,,1,0.26
23b,1,,1,0.19
23c,1,,1,0.28
24a,1,,1,0.41
24b,1,,1,0.25
25a,1,,1,0.52
25b,1,,1,0.22
25c,1,,1,0.64
26a,1,,1,0.42
26b,1,,1,0.32
26c,1,,1,0.45
27a,1,,1,0.12
27b,1,,1,0.09
27c,1,,1,0.12
28a,1,,1,0.58
28b,1,,1,0.41
28c,1,,1,0.57
29a,1,,1,0.36
29b,1,,1,0.36
29c,1,,1,0.60
30a,1,,1,0.51
30b,1,,1,0.44
30c,1,,1,0.60
31a,1,,1,0.51
31b,1,,1,0.29
31c,1,,1,0.60
32a,1,,1,0.04
32b,1,,1,0.10
33a,1,,1,0.08
33b,1,,1,0.10
33c,1,,1,0.11
1a,2,,1,0.06
1b,2,,1,0.05
1c,2,,1,0.05
1d,2,,1,0.05
2a,2,,1,0.10
2b,2,,1,0.09
2c,2,,1,0.05
2d,2,,1,0.13
3a,2,,1,0.33
3b,2,,1,0.28
3c,2,,1,0.35
4a,2,,1,0.13
4b,2,,1,0.07
4c,2,,1,0.16
5a,2,,1,0.05
5b,2,,1,0.09
5c,2,,1,0.29
6a,2,,1,0.14
6b,2,,1,0.11
6c,2,,1,0.10
6d,2,,1,0.20
6e,2,,1,0.12
6f,2,,1,0.64
7a,2,,1,0.16
7b,2,,1,0.10
7c,2,,1,0.45
8a,2,,1,0.17
8b,2,,1,0.15
8c,2,,1,0.45
8d,2,,1,0.25
9a,2,,1,0.28
9b,2,,1,0.19
9c,2,,1,0.26
9d,2,,1,0.38
10a,2,,1,0.19
10b,2,,1,0.17
10c,2,,1,0.43
11a,2,,1,0.07
11b,2,,1,0.07
11c,2,,1,0.09
11d,2,,1,0.11
12a,2,,1,0.09
12b,2,,1,0.07
12c,2,,1,0.11
13a,2,,1,0.12
13b,2,,1,0.09
13c,2,,1,0.08
13d,2,,1,0.20
14a,2,,1,0.12
14b,2,,1,0.08
14c,2,,1,0.15
15a,2,,1,0.22
15b,2,,1,0.19
15c,2,,1,0.31
15d,2,,1,0.28
16a,2,,1,0.19
16b,2,,1,0.62
16c,2,,1,0.28
16d,2,,1,0.28
17a,2,,1,0.33
17b,2,,1,0.42
17c,2,,1,0.20
17d,2,,1,0.26
17e,2,,1,0.37
17f,2,,1,0.37
18a,2,,1,0.30
18b,2,,1,0.28
18c,2,,1,0.42
19a,2,,1,0.33
19b,2,,1,0.23
19c,2,,1,0.38
19d,2,,1,0.45
20a,2,,1,0.28
20b,2,,1,0.21
20c,2,,1,0.29
21a,2,,1,0.11
21b,2,,1,0.09
21c,2,,1,0.11
22a,2,,1,0.19
22b,2,,1,0.18
22c,2,,1,0.26
22d,2,,1,0.23
23a,2,,1,0.20
23b,2,,1,0.19
23c,2,,1,0.22
24a,2,,1,0.32
24b,2,,1,0.19
25a,2,,1,0.34
25b,2,,1,0.20
25c,2,,1,0.38
26a,2,,1,0.28
26b,2,,1,0.23
26c,2,,1,0.30
27a,2,,1,0.11
