query,case,seed,run_idx,runtime_seconds
Q01,1,2,1,0.37
Q02,1,2,1,0.27
Q03,1,2,1,0.29
Q04,1,2,1,0.99
Q05,1,2,1,0.52
Q06,1,2,1,0.35
Q07,1,2,1,0.51
Q08,1,2,1,0.87
Q09,1,2,1,0.28
Q10,1,2,1,0.30
Q11,1,2,1,0.79
Q12,1,2,1,0.24
Q13,1,2,1,0.51
Q14,1,2,1,1.08
Q15,1,2,1,0.19
Q16,1,2,1,0.20
Q17,1,2,1,0.57
Q18,1,2,1,0.44
Q19,1,2,1,0.37
Q20,1,2,1,0.20
Q21,1,2,1,0.18
Q22,1,2,1,2.63
Q23,1,2,1,0.88
Q24,1,2,1,0.48
Q25,1,2,1,0.61
Q26,1,2,1,0.24
Q27,1,2,1,0.53
Q28,1,2,1,0.46
Q29,1,2,1,0.55
Q30,1,2,1,0.26
Q31,1,2,1,0.40
Q32,1,2,1,0.16
Q33,1,2,1,0.40
Q34,1,2,1,0.30
Q35,1,2,1,0.43
Q36,1,2,1,0.65
Q37,1,2,1,0.20
Q38,1,2,1,0.34
Q39,1,2,1,0.42
Q40,1,2,1,0.19
Q41,1,2,1,0.16
Q42,1,2,1,0.28
Q43,1,2,1,0.30
Q44,1,2,1,9999999
Q45,1,2,1,0.24
Q46,1,2,1,0.51
Q47,1,2,1,0.67
Q48,1,2,1,0.44
Q49,1,2,1,0.45
Q50,1,2,1,0.38
Q51,1,2,1,0.88
Q52,1,2,1,0.29
Q53,1,2,1,0.34
Q54,1,2,1,9999999
