query,case,seed,runtime_seconds
Q13,1,0,8.42
Q13,1,1,8.41
Q13,1,2,8.40
Q13,1,3,8.48
Q13,1,4,8.44
Q13,1,5,8.34
Q13,1,6,8.28
Q13,1,7,8.40
Q13,1,8,8.25
Q13,1,9,8.30
Q13,2,0,8.43
Q13,2,1,8.39
Q13,2,2,8.31
Q13,2,3,8.45
Q13,2,4,8.28
Q13,2,5,8.57
Q13,2,6,8.43
Q13,2,7,8.25
Q13,2,8,8.53
Q13,2,9,8.32
Q13,3,0,9.46
Q13,3,1,9.59
Q13,3,2,9.68
Q13,3,3,9.47
Q13,3,4,9.49
Q13,3,5,9.55
Q13,3,6,9.58
Q13,3,7,9.51
Q13,3,8,9.51
Q13,3,9,9.51
Q13,4,0,8.41
Q13,4,1,8.37
Q13,4,2,8.31
Q13,4,3,8.35
Q13,4,4,8.36
Q13,4,5,8.47
Q13,4,6,8.31
Q13,4,7,8.36
Q13,4,8,8.44
Q13,4,9,8.39
